REF_DATE,GEO,DGUID,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1947-04,Prince Edward Island,2016A000211,Marriages,Number,223,units,0,v99,3.3,158,,,t,0
1947-04,Nova Scotia,2016A000212,Births,Number,223,units,0,v70,4.1,5128,,,,0
1947-04,Nova Scotia,2016A000212,Deaths,Number,223,units,0,v85,4.2,1557,,,,0
1947-04,Nova Scotia,2016A000212,Marriages,Number,223,units,0,v100,4.3,1630,,,t,0
1947-04,New Brunswick,2016A000213,Births,Number,223,units,0,v71,5.1,4660,,,,0
1947-04,New Brunswick,2016A000213,Deaths,Number,223,units,0,v86,5.2,1276,,,,0
1947-04,New Brunswick,2016A000213,Marriages,Number,223,units,0,v101,5.3,1451,,,t,0
1947-04,Quebec,2016A000224,Births,Number,223,units,0,v72,6.1,31743,,,,0
1947-04,Quebec,2016A000224,Deaths,Number,223,units,0,v87,6.2,8887,,,,0
1947-04,Quebec,2016A000224,Marriages,Number,223,units,0,v102,6.3,10876,,,t,0
1947-04,Ontario,2016A000235,Births,Number,223,units,0,v73,7.1,28895,,,,0
1947-04,Ontario,2016A000235,Deaths,Number,223,units,0,v88,7.2,10609,,,,0
1947-04,Ontario,2016A000235,Marriages,Number,223,units,0,v103,7.3,13688,,,t,0
1947-04,Manitoba,2016A000246,Births,Number,223,units,0,v74,8.1,5576,,,,0
1947-04,Manitoba,2016A000246,Deaths,Number,223,units,0,v89,8.2,1670,,,,0
1947-04,Manitoba,2016A000246,Marriages,Number,223,units,0,v104,8.3,2254,,,t,0
1947-04,Saskatchewan,2016A000247,Births,Number,223,units,0,v75,9.1,6289,,,,0
1947-04,Saskatchewan,2016A000247,Deaths,Number,223,units,0,v90,9.2,1663,,,,0
1947-04,Saskatchewan,2016A000247,Marriages,Number,223,units,0,v105,9.3,1991,,,t,0
1947-04,Alberta,2016A000248,Births,Number,223,units,0,v76,10.1,6576,,,,0
1947-04,Alberta,2016A000248,Deaths,Number,223,units,0,v91,10.2,1625,,,,0
1947-04,Alberta,2016A000248,Marriages,Number,223,units,0,v106,10.3,2429,,,t,0
1947-04,British Columbia,2016A000259,Births,Number,223,units,0,v64,11.1,6800,,,,0
1947-04,British Columbia,2016A000259,Deaths,Number,223,units,0,v79,11.2,2615,,,,0
1947-04,British Columbia,2016A000259,Marriages,Number,223,units,0,v94,11.3,3390,,,t,0
1947-04,Yukon,2016A000260,Births,Number,223,units,0,v65,12.1,63,,,,0
1947-04,Yukon,2016A000260,Deaths,Number,223,units,0,v80,12.2,17,,,,0
1947-04,Yukon,2016A000260,Marriages,Number,223,units,0,v95,12.3,12,,,t,0
1947-04,Northwest Territories including Nunavut,,Births,Number,223,units,0,v66,13.1,157,,,t,0
1947-04,Northwest Territories including Nunavut,,Deaths,Number,223,units,0,v81,13.2,94,,,t,0
1947-04,Northwest Territories including Nunavut,,Marriages,Number,223,units,0,v96,13.3,33,,,t,0
1947-07,Canada,2016A000011124,Births,Number,223,units,0,v62,1.1,91900,,,,0
1947-07,Canada,2016A000011124,Deaths,Number,223,units,0,v77,1.2,27229,,,,0
1947-07,Canada,2016A000011124,Marriages,Number,223,units,0,v92,1.3,41533,,,t,0
1947-07,Prince Edward Island,2016A000211,Births,Number,223,units,0,v69,3.1,780,,,,0
1947-07,Prince Edward Island,2016A000211,Deaths,Number,223,units,0,v84,3.2,233,,,,0
1947-07,Prince Edward Island,2016A000211,Marriages,Number,223,units,0,v99,3.3,238,,,t,0
1947-07,Nova Scotia,2016A000212,Births,Number,223,units,0,v70,4.1,5025,,,,0
1947-07,Nova Scotia,2016A000212,Deaths,Number,223,units,0,v85,4.2,1357,,,,0
1947-07,Nova Scotia,2016A000212,Marriages,Number,223,units,0,v100,4.3,1800,,,t,0
1947-07,New Brunswick,2016A000213,Births,Number,223,units,0,v71,5.1,4691,,,,0
1947-07,New Brunswick,2016A000213,Deaths,Number,223,units,0,v86,5.2,1074,,,,0
1947-07,New Brunswick,2016A000213,Marriages,Number,223,units,0,v101,5.3,1724,,,t,0
1947-07,Quebec,2016A000224,Births,Number,223,units,0,v72,6.1,28972,,,,0
1947-07,Quebec,2016A000224,Deaths,Number,223,units,0,v87,6.2,7821,,,,0
1947-07,Quebec,2016A000224,Marriages,Number,223,units,0,v102,6.3,14128,,,t,0
1947-07,Ontario,2016A000235,Births,Number,223,units,0,v73,7.1,27789,,,,0
1947-07,Ontario,2016A000235,Deaths,Number,223,units,0,v88,7.2,9432,,,,0
1947-07,Ontario,2016A000235,Marriages,Number,223,units,0,v103,7.3,13474,,,t,0
1947-07,Manitoba,2016A000246,Births,Number,223,units,0,v74,8.1,5259,,,,0
1947-07,Manitoba,2016A000246,Deaths,Number,223,units,0,v89,8.2,1629,,,,0
1947-07,Manitoba,2016A000246,Marriages,Number,223,units,0,v104,8.3,2295,,,t,0
1947-07,Saskatchewan,2016A000247,Births,Number,223,units,0,v75,9.1,6080,,,,0
1947-07,Saskatchewan,2016A000247,Deaths,Number,223,units,0,v90,9.2,1581,,,,0
1947-07,Saskatchewan,2016A000247,Marriages,Number,223,units,0,v105,9.3,2019,,,t,0
1947-07,Alberta,2016A000248,Births,Number,223,units,0,v76,10.1,6303,,,,0
1947-07,Alberta,2016A000248,Deaths,Number,223,units,0,v91,10.2,1534,,,,0
1947-07,Alberta,2016A000248,Marriages,Number,223,units,0,v106,10.3,2381,,,t,0
1947-07,British Columbia,2016A000259,Births,Number,223,units,0,v64,11.1,6810,,,,0
1947-07,British Columbia,2016A000259,Deaths,Number,223,units,0,v79,11.2,2455,,,,0
1947-07,British Columbia,2016A000259,Marriages,Number,223,units,0,v94,11.3,3403,,,t,0
1947-07,Yukon,2016A000260,Births,Number,223,units,0,v65,12.1,52,,,,0
1947-07,Yukon,2016A000260,Deaths,Number,223,units,0,v80,12.2,22,,,,0
1947-07,Yukon,2016A000260,Marriages,Number,223,units,0,v95,12.3,14,,,t,0
1947-07,Northwest Territories including Nunavut,,Births,Number,223,units,0,v66,13.1,139,,,t,0
1947-07,Northwest Territories including Nunavut,,Deaths,Number,223,units,0,v81,13.2,91,,,t,0
1947-07,Northwest Territories including Nunavut,,Marriages,Number,223,units,0,v96,13.3,57,,,t,0
1947-10,Canada,2016A000011124,Births,Number,223,units,0,v62,1.1,82002,,,,0
1947-10,Canada,2016A000011124,Deaths,Number,223,units,0,v77,1.2,29674,,,,0
1947-10,Canada,2016A000011124,Marriages,Number,223,units,0,v92,1.3,30729,,,t,0
