ref_date,region,birth_or_death,num_people,growth_from_births
"1948-07-01 00:00:00",Ontario,Deaths,9484,17546
"1948-07-01 00:00:00","Prince Edward Island",Deaths,204,587
"1948-07-01 00:00:00","Prince Edward Island",Births,791,587
"1948-07-01 00:00:00",Quebec,Deaths,7917,21953
"1948-07-01 00:00:00",Quebec,Births,29870,21953
"1948-07-01 00:00:00",Saskatchewan,Births,5749,4193
"1948-07-01 00:00:00",Saskatchewan,Deaths,1556,4193
"1948-07-01 00:00:00",Yukon,Births,73,43
"1948-07-01 00:00:00",Yukon,Deaths,30,43
"1948-10-01 00:00:00",Alberta,Deaths,1710,3986
"1948-10-01 00:00:00",Alberta,Births,5696,3986
"1948-10-01 00:00:00","British Columbia",Deaths,2807,3284
"1948-10-01 00:00:00","British Columbia",Births,6091,3284
"1948-10-01 00:00:00",Canada,Deaths,28933,53445
"1948-10-01 00:00:00",Canada,Births,82378,53445
"1948-10-01 00:00:00",Manitoba,Births,4432,2798
"1948-10-01 00:00:00",Manitoba,Deaths,1634,2798
"1948-10-01 00:00:00","New Brunswick",Births,4133,2906
"1948-10-01 00:00:00","New Brunswick",Deaths,1227,2906
"1948-10-01 00:00:00","Northwest Territories including Nunavut",Deaths,81,78
"1948-10-01 00:00:00","Northwest Territories including Nunavut",Births,159,78
"1948-10-01 00:00:00","Nova Scotia",Deaths,1425,2801
"1948-10-01 00:00:00","Nova Scotia",Births,4226,2801
"1948-10-01 00:00:00",Ontario,Births,25262,14706
"1948-10-01 00:00:00",Ontario,Deaths,10556,14706
"1948-10-01 00:00:00","Prince Edward Island",Deaths,227,419
"1948-10-01 00:00:00","Prince Edward Island",Births,646,419
"1948-10-01 00:00:00",Quebec,Births,26653,19063
"1948-10-01 00:00:00",Quebec,Deaths,7590,19063
"1948-10-01 00:00:00",Saskatchewan,Deaths,1638,3368
"1948-10-01 00:00:00",Saskatchewan,Births,5006,3368
"1948-10-01 00:00:00",Yukon,Deaths,38,36
"1948-10-01 00:00:00",Yukon,Births,74,36
"1949-01-01 00:00:00",Alberta,Deaths,1761,3958
"1949-01-01 00:00:00",Alberta,Births,5719,3958
"1949-01-01 00:00:00","British Columbia",Deaths,3012,3240
"1949-01-01 00:00:00","British Columbia",Births,6252,3240
"1949-01-01 00:00:00",Canada,Births,87976,55212
"1949-01-01 00:00:00",Canada,Deaths,32764,55212
"1949-01-01 00:00:00",Manitoba,Births,4606,2856
"1949-01-01 00:00:00",Manitoba,Deaths,1750,2856
"1949-01-01 00:00:00","New Brunswick",Births,4139,2829
"1949-01-01 00:00:00","New Brunswick",Deaths,1310,2829
"1949-01-01 00:00:00","Newfoundland and Labrador",Births,2944,2139
"1949-01-01 00:00:00","Newfoundland and Labrador",Deaths,805,2139
"1949-01-01 00:00:00","Northwest Territories including Nunavut",Deaths,107,63
"1949-01-01 00:00:00","Northwest Territories including Nunavut",Births,170,63
"1949-01-01 00:00:00","Nova Scotia",Births,4307,2710
"1949-01-01 00:00:00","Nova Scotia",Deaths,1597,2710
"1949-01-01 00:00:00",Ontario,Births,25902,14393
"1949-01-01 00:00:00",Ontario,Deaths,11509,14393
"1949-01-01 00:00:00","Prince Edward Island",Deaths,237,447
"1949-01-01 00:00:00","Prince Edward Island",Births,684,447
"1949-01-01 00:00:00",Quebec,Deaths,8965,19261
"1949-01-01 00:00:00",Quebec,Births,28226,19261
"1949-01-01 00:00:00",Saskatchewan,Births,4955,3271
"1949-01-01 00:00:00",Saskatchewan,Deaths,1684,3271
"1949-01-01 00:00:00",Yukon,Births,72,45
"1949-01-01 00:00:00",Yukon,Deaths,27,45
"1949-04-01 00:00:00",Alberta,Births,6562,4682
"1949-04-01 00:00:00",Alberta,Deaths,1880,4682
"1949-04-01 00:00:00","British Columbia",Deaths,2804,4287
