CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1600,    Pakistan,,220,,90,,130,,1.5,,1.2,,1.9,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1601,    Sri Lanka,,100,,50,,50,,0.7,,0.7,,0.7,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1602,    Other places of birth in Asia,,635,,340,,300,,4.5,,4.7,,4.3,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1603,  Oceania and other places of birth,93,130,,40,,90,,0.9,,0.6,,1.3,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1604,Total - Place of birth for the recent immigrant population in private households - 25% sample data,94,4270,,2100,,2170,,100,,100,,100,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1605,  Americas,,430,,200,,225,,10.1,,9.5,,10.4,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1606,    Brazil,,25,,10,,20,,0.6,,0.5,,0.9,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1607,    Colombia,,20,,15,,0,,0.5,,0.7,,0,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1608,    Haiti,,0,,0,,0,,0,,0,,0,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,1609,    Jamaica,,145,,60,,80,,3.4,,2.9,,3.7,
